actor_episodes,actor_steps,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,policy_loss
25591,71791,0.37229067,4419,11508,29290,1992.0899093151093,0.44712505
25609,71837,0.32942042,4420,11510,29310,1993.2902221679688,0.35766977
25622,71875,0.33521307,4420,11510,29326,1994.4044706821442,0.41687864
25658,71981,0.40831846,4423,11516,29351,1995.8129234313965,0.4282316
25673,72033,0.30685848,4423,11516,29371,1997.0146617889404,0.41445857
25687,72071,0.36961842,4425,11520,29394,1998.261808872223,0.3955427
25698,72106,0.40358096,4426,11522,29416,1999.4750618934631,0.30395728
25714,72157,0.3605973,4427,11524,29437,2000.6557235717773,0.32737482
25733,72213,0.354308,4428,11526,29453,2001.7663598060608,0.34076244
25745,72247,0.25967073,4429,11528,29470,2002.8891587257385,0.42974263
25754,72271,0.437347,4430,11530,29489,2004.052197933197,0.34547397
25776,72323,0.2796698,4431,11532,29508,2005.230896949768,0.34244034
25793,72377,0.30747157,4432,11534,29527,2006.3369576931,0.34138322
25806,72417,0.39869952,4433,11536,29548,2007.5644636154175,0.3056204
25824,72474,0.33509505,4434,11538,29572,2008.742789030075,0.4281777
25840,72525,0.2989454,4436,11542,29595,2009.8603739738464,0.42470312
25855,72572,0.32091683,4436,11542,29613,2011.0215969085693,0.4438963
25880,72650,0.39568886,4438,11546,29632,2012.2237939834595,0.42790776
25898,72706,0.37145698,4440,11550,29655,2013.3898510932922,0.45007628
25917,72760,0.3231109,4441,11552,29675,2014.4999194145203,0.40709078
25931,72803,0.39809883,4442,11554,29692,2015.6380016803741,0.4256634
25943,72838,0.3046756,4443,11556,29712,2016.875969171524,0.42318806
25952,72869,0.43914396,4444,11558,29725,2017.9812774658203,0.45172518
25969,72924,0.37111247,4446,11562,29749,2019.3148231506348,0.43743634
25980,72959,0.35351112,4446,11562,29775,2020.510760307312,0.44956946
25999,73010,0.3337303,4447,11564,29798,2021.8483061790466,0.41988194
26019,73070,0.3803916,4448,11566,29820,2022.9502665996552,0.44391838
26050,73155,0.40269506,4450,11570,29839,2024.175393819809,0.42484665
26065,73202,0.36055362,4451,11572,29864,2025.2782170772552,0.45223564
26081,73249,0.27872556,4452,11574,29883,2026.399799823761,0.41911027
26100,73303,0.3740972,4453,11576,29902,2027.5572910308838,0.42683548
26106,73321,0.4248027,4454,11578,29922,2028.658119916916,0.42284024
26121,73367,0.4111433,4454,11578,29940,2030.0849795341492,0.46387416
26141,73427,0.3112661,4456,11582,29960,2031.2437765598297,0.4217
26154,73469,0.34314623,4458,11586,29982,2032.3796591758728,0.43828216
26165,73507,0.39489472,4459,11588,29999,2033.4808721542358,0.43819356
26185,73570,0.3778359,4461,11592,30018,2034.6518940925598,0.44053575
26201,73623,0.3881008,4462,11594,30040,2035.8208615779877,0.31166694
26215,73666,0.39073643,4462,11594,30059,2037.006455898285,0.43837324
26229,73706,0.45364535,4464,11598,30078,2038.1264469623566,0.4352839
26243,73749,0.32602745,4464,11598,30101,2039.288188457489,0.43784896
26257,73791,0.36778024,4466,11602,30118,2040.389672756195,0.40345675
26273,73841,0.28375545,4466,11602,30140,2041.5327513217926,0.43707192
26286,73881,0.39487886,4468,11606,30155,2042.6433799266815,0.4388189
26306,73940,0.2907237,4469,11608,30179,2043.7486667633057,0.43283296
26323,73991,0.3415407,4470,11610,30200,2044.8689603805542,0.4269478
26342,74045,0.40785444,4470,11610,30215,2045.9871790409088,0.4298772
26346,74058,0.35777438,4472,11614,30238,2047.1916117668152,0.4625708
26380,74163,0.34104753,4473,11616,30260,2048.5561158657074,0.4470062
26397,74212,0.4195497,4475,11620,30283,2049.691023826599,0.4182229
26410,74251,0.37799725,4476,11622,30304,2050.884678840637,0.42049807
26424,74288,0.36452702,4477,11624,30315,2052.000451564789,0.4330396
26440,74338,0.42901117,4478,11626,30338,2053.0438063144684,0.4337435
26459,74391,0.39087775,4479,11628,30362,2054.464789390564,0.4559135
26474,74434,0.50843775,4480,11630,30387,2055.7416439056396,0.44493735
26489,74478,0.329723,4480,11630,30405,2056.970278263092,0.422597
26516,74562,0.31266463,4482,11634,30428,2058.19379901886,0.42012957
26526,74590,0.36980325,4484,11638,30451,2059.297200202942,0.41284838
26547,74659,0.4809236,4485,11640,30474,2060.4087266921997,0.40794095
26561,74697,0.37785983,4486,11642,30490,2061.5130863189697,0.45861503
26574,74740,0.37048164,4487,11644,30509,2062.66779589653,0.3944555
26589,74787,0.36934015,4487,11644,30528,2063.827726840973,0.4368153
26597,74814,0.398947,4489,11648,30544,2064.959473848343,0.36322725
26613,74862,0.32066143,4489,11648,30566,2066.0886273384094,0.34884274
26628,74910,0.43300754,4491,11652,30589,2067.204329967499,0.4122953
26648,74970,0.3141973,4492,11654,30609,2068.34846162796,0.35098594
